,Species,Trap,Longitude,Latitude
465,CULEX TERRITANS,T150,-87.675919,42.006858
466,CULEX PIPIENS/RESTUANS,T015,-87.824812,41.974089
467,CULEX RESTUANS,T015,-87.824812,41.974089
468,CULEX PIPIENS,T015,-87.824812,41.974089
469,CULEX PIPIENS/RESTUANS,T013,-87.785288,41.923738
470,CULEX RESTUANS,T013,-87.785288,41.923738
471,CULEX PIPIENS,T013,-87.785288,41.923738
472,CULEX TERRITANS,T013,-87.785288,41.923738
473,CULEX PIPIENS/RESTUANS,T226,-87.654234,41.793818
474,CULEX RESTUANS,T226,-87.654234,41.793818
475,CULEX PIPIENS,T226,-87.654234,41.793818
476,CULEX TERRITANS,T226,-87.654234,41.793818
477,CULEX SALINARIUS,T226,-87.654234,41.793818
478,CULEX RESTUANS,T046,-87.65449100000001,41.891118
479,CULEX PIPIENS/RESTUANS,T046,-87.65449100000001,41.891118
480,CULEX PIPIENS,T046,-87.65449100000001,41.891118
481,CULEX SALINARIUS,T046,-87.65449100000001,41.891118
482,CULEX TERRITANS,T046,-87.65449100000001,41.891118
483,CULEX PIPIENS/RESTUANS,T149,-87.667736,41.994469
484,CULEX RESTUANS,T149,-87.667736,41.994469
485,CULEX PIPIENS,T149,-87.667736,41.994469
486,CULEX TERRITANS,T149,-87.667736,41.994469
487,CULEX RESTUANS,T018,-87.66214000000001,42.010412
488,CULEX PIPIENS/RESTUANS,T018,-87.66214000000001,42.010412
489,CULEX PIPIENS,T018,-87.66214000000001,42.010412
490,CULEX SALINARIUS,T018,-87.66214000000001,42.010412
491,CULEX TERRITANS,T018,-87.66214000000001,42.010412
492,CULEX RESTUANS,T009,-87.812827,41.981964000000005
493,CULEX PIPIENS/RESTUANS,T009,-87.812827,41.981964000000005
494,CULEX PIPIENS,T009,-87.812827,41.981964000000005
495,CULEX RESTUANS,T009A,-87.862995,41.992478000000006
496,CULEX PIPIENS/RESTUANS,T009A,-87.862995,41.992478000000006
497,CULEX TERRITANS,T009A,-87.862995,41.992478000000006
498,CULEX PIPIENS,T009A,-87.862995,41.992478000000006
499,CULEX RESTUANS,T219,-87.674677,41.966986999999996
500,CULEX PIPIENS/RESTUANS,T219,-87.674677,41.966986999999996
501,CULEX PIPIENS,T219,-87.674677,41.966986999999996
502,CULEX PIPIENS,T222,-87.746381,41.925197999999995
503,CULEX PIPIENS/RESTUANS,T222,-87.746381,41.925197999999995
504,CULEX RESTUANS,T222,-87.746381,41.925197999999995
505,CULEX TERRITANS,T222,-87.746381,41.925197999999995
506,CULEX PIPIENS/RESTUANS,T017,-87.777189,41.960615999999995
507,CULEX RESTUANS,T017,-87.777189,41.960615999999995
508,CULEX PIPIENS,T017,-87.777189,41.960615999999995
509,CULEX SALINARIUS,T017,-87.777189,41.960615999999995
510,CULEX TARSALIS,T017,-87.777189,41.960615999999995
511,CULEX PIPIENS/RESTUANS,T903,-87.930995,41.957799
512,CULEX RESTUANS,T903,-87.930995,41.957799
513,CULEX PIPIENS,T903,-87.930995,41.957799
514,CULEX RESTUANS,T900,-87.890615,41.974689
515,CULEX PIPIENS/RESTUANS,T900,-87.890615,41.974689
516,CULEX PIPIENS,T900,-87.890615,41.974689
517,CULEX SALINARIUS,T900,-87.890615,41.974689
518,CULEX TERRITANS,T900,-87.890615,41.974689
519,CULEX ERRATICUS,T900,-87.890615,41.974689
520,CULEX PIPIENS,T060,-87.67837800000001,41.823065
521,CULEX PIPIENS/RESTUANS,T060,-87.67837800000001,41.823065
522,CULEX RESTUANS,T060,-87.67837800000001,41.823065
523,CULEX SALINARIUS,T060,-87.67837800000001,41.823065
524,CULEX PIPIENS/RESTUANS,T048,-87.654224,41.867108
525,CULEX RESTUANS,T048,-87.654224,41.867108
526,CULEX PIPIENS,T048,-87.654224,41.867108
527,CULEX SALINARIUS,T048,-87.654224,41.867108
528,CULEX TERRITANS,T048,-87.654224,41.867108
529,CULEX PIPIENS/RESTUANS,T005,-87.776385,41.942114000000004
530,CULEX PIPIENS,T005,-87.776385,41.942114000000004
531,CULEX TERRITANS,T005,-87.776385,41.942114000000004
532,CULEX RESTUANS,T014,-87.787992,41.970248
533,CULEX PIPIENS/RESTUANS,T014,-87.787992,41.970248
534,CULEX PIPIENS,T014,-87.787992,41.970248
535,CULEX TERRITANS,T014,-87.787992,41.970248
536,CULEX PIPIENS/RESTUANS,T004,-87.748367,41.962728000000006
537,CULEX RESTUANS,T004,-87.748367,41.962728000000006
538,CULEX PIPIENS,T004,-87.748367,41.962728000000006
539,CULEX RESTUANS,T045,-87.666455,41.9216
540,CULEX PIPIENS,T045,-87.666455,41.9216
541,CULEX PIPIENS/RESTUANS,T045,-87.666455,41.9216
